DATE,OCCUPATION,JOB VACANCIES
2020-10,Managers in aquaculture [0823],0
2020-10,Managers in manufacturing and utilities [091],285
2020-10,Manufacturing managers [0911],245
2020-10,Utilities managers [0912],0
2020-10,"Business, finance and administration occupations [1]",16575
2020-10,Professional occupations in business and finance [11],3880
2020-10,"Auditors, accountants and investment professionals [111]",1985
2020-10,Financial auditors and accountants [1111],745
2020-10,Financial and investment analysts [1112],360
2020-10,"Securities agents, investment dealers and brokers [1113]",60
2020-10,Other financial officers [1114],820
2020-10,Human resources and business service professionals [112],1895
2020-10,Human resources professionals [1121],535
2020-10,Professional occupations in business management consulting [1122],585
2020-10,"Professional occupations in advertising, marketing and public relations [1123]",775
2020-10,Administrative and financial supervisors and administrative occupations [12],5055
2020-10,Administrative services supervisors [121],345
2020-10,"Supervisors, general office and administrative support workers [1211]",5
2020-10,"Supervisors, finance and insurance office workers [1212]",75
2020-10,"Supervisors, library, correspondence and related information workers [1213]",0
2020-10,"Supervisors, mail and message distribution occupations [1214]",0
2020-10,"Supervisors, supply chain, tracking and scheduling co-ordination occupations [1215]",255
2020-10,Administrative and regulatory occupations [122],2640
2020-10,Administrative officers [1221],1795
2020-10,Executive assistants [1222],140
2020-10,Human resources and recruitment officers [1223],235
2020-10,Property administrators [1224],0
2020-10,Purchasing agents and officers [1225],290
2020-10,Conference and event planners [1226],0
2020-10,Court officers and justices of the peace [1227],5
2020-10,"Employment insurance, immigration, border services and revenue officers [1228]",0
2020-10,"Office administrative assistants - general, legal and medical [124]",1990
2020-10,Administrative assistants [1241],1140
2020-10,Legal administrative assistants [1242],250
2020-10,Medical administrative assistants [1243],605
2020-10,"Court reporters, transcriptionists, records management technicians and statistical officers [125]",85
2020-10,"Court reporters, medical transcriptionists and related occupations [1251]",0
2020-10,Health information management occupations [1252],0
2020-10,Records management technicians [1253],65
2020-10,Statistical officers and related research support occupations [1254],0
2020-10,"Finance, insurance and related business administrative occupations [13]",750
2020-10,"Finance, insurance and related business administrative occupations [131]",750
2020-10,Accounting technicians and bookkeepers [1311],380
2020-10,Insurance adjusters and claims examiners [1312],115
2020-10,Insurance underwriters [1313],70
2020-10,"Assessors, valuators and appraisers [1314]",0
2020-10,"Customs, ship and other brokers [1315]",0
2020-10,Office support occupations [14],2635
2020-10,General office workers [141],1290
2020-10,General office support workers [1411],300
2020-10,Receptionists [1414],965
2020-10,Personnel clerks [1415],0
2020-10,Court clerks [1416],0
2020-10,Office equipment operators [142],0
2020-10,Data entry clerks [1422],0
2020-10,Desktop publishing operators and related occupations [1423],0
2020-10,"Financial, insurance and related administrative support workers [143]",1190
2020-10,Accounting and related clerks [1431],725
2020-10,Payroll administrators [1432],90
2020-10,"Banking, insurance and other financial clerks [1434]",325
2020-10,Collectors [1435],0
2020-10,"Library, correspondence and other clerks [145]",0
2020-10,Library assistants and clerks [1451],0
2020-10,"Correspondence, publication and regulatory clerks [1452]",15
2020-10,Survey interviewers and statistical clerks [1454],0
2020-10,"Distribution, tracking and scheduling co-ordination occupations [15]",4255
2020-10,Mail and message distribution occupations [151],0
2020-10,"Mail, postal and related workers [1511]",0
2020-10,Letter carriers [1512],0
2020-10,"Couriers, messengers and door-to-door distributors [1513]",0
2020-10,"Supply chain logistics, tracking and scheduling co-ordination occupations [152]",0
2020-10,Shippers and receivers [1521],1175
2020-10,Storekeepers and partspersons [1522],670
2020-10,Production logistics co-ordinators [1523],0
2020-10,Purchasing and inventory control workers [1524],0
2020-10,Dispatchers [1525],270
2020-10,Transportation route and crew schedulers [1526],0
2020-10,Natural and applied sciences and related occupations [2],12070
2020-10,Professional occupations in natural and applied sciences [21],7210
2020-10,Physical science professionals [211],105
2020-10,Physicists and astronomers [2111],0
2020-10,Chemists [2112],0
2020-10,Geoscientists and oceanographers [2113],45
2020-10,Meteorologists and climatologists [2114],0
2020-10,Other professional occupations in physical sciences [2115],0
2020-10,Life science professionals [212],0
2020-10,Biologists and related scientists [2121],0
2020-10,Forestry professionals [2122],0
2020-10,"Agricultural representatives, consultants and specialists [2123]",0
2020-10,"Civil, mechanical, electrical and chemical engineers [213]",1060
2020-10,Civil engineers [2131],580
2020-10,Mechanical engineers [2132],185
2020-10,Electrical and electronics engineers [2133],285
2020-10,Chemical engineers [2134],0
2020-10,Other engineers [214],400
2020-10,Industrial and manufacturing engineers [2141],160
2020-10,Metallurgical and materials engineers [2142],0
2020-10,Mining engineers [2143],0
2020-10,Geological engineers [2144],20
2020-10,Petroleum engineers [2145],0
2020-10,Aerospace engineers [2146],5
2020-10,Computer engineers (except software engineers and designers) [2147],115
2020-10,"Other professional engineers, not elsewhere classified (n.e.c.) [2148]",70
2020-10,"Architects, urban planners and land surveyors [215]",230
2020-10,Architects [2151],160
2020-10,Landscape architects [2152],0
2020-10,Urban and land use planners [2153],30
2020-10,Land surveyors [2154],0
2020-10,"Mathematicians, statisticians and actuaries [216]",130
2020-10,"Mathematicians, statisticians and actuaries [2161]",130
2020-10,Computer and information systems professionals [217],5170
2020-10,Information systems analysts and consultants [2171],1975
2020-10,Database analysts and data administrators [2172],250
2020-10,Software engineers and designers [2173],560
2020-10,Computer programmers and interactive media developers [2174],2060
2020-10,Web designers and developers [2175],325
2020-10,Technical occupations related to natural and applied sciences [22],4860
2020-10,Technical occupations in physical sciences [221],300
2020-10,Chemical technologists and technicians [2211],240
2020-10,Geological and mineral technologists and technicians [2212],60
2020-10,Technical occupations in life sciences [222],0
2020-10,Biological technologists and technicians [2221],0
2020-10,Agricultural and fish products inspectors [2222],0
2020-10,Forestry technologists and technicians [2223],0
2020-10,Conservation and fishery officers [2224],0
2020-10,Landscape and horticulture technicians and specialists [2225],0
2020-10,"Technical occupations in civil, mechanical and industrial engineering [223]",995
2020-10,Civil engineering technologists and technicians [2231],265
2020-10,Mechanical engineering technologists and technicians [2232],230
2020-10,Industrial engineering and manufacturing technologists and technicians [2233],225
2020-10,Construction estimators [2234],280
2020-10,Technical occupations in electronics and electrical engineering [224],635
2020-10,Electrical and electronics engineering technologists and technicians [2241],465
2020-10,Electronic service technicians (household and business equipment) [2242],0
2020-10,Industrial instrument technicians and mechanics [2243],35
2020-10,"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors [2244]",0
2020-10,"Technical occupations in architecture, drafting, surveying, geomatics and meteorology [225]",715
2020-10,Architectural technologists and technicians [2251],270
2020-10,Industrial designers [2252],165
2020-10,Drafting technologists and technicians [2253],230
2020-10,Land survey technologists and technicians [2254],10
2020-10,Technical occupations in geomatics and meteorology [2255],0
2020-10,Other technical inspectors and regulatory officers [226],395
2020-10,Non-destructive testers and inspection technicians [2261],0
2020-10,Engineering inspectors and regulatory officers [2262],20
2020-10,Inspectors in public and environmental health and occupational health and safety [2263],285
2020-10,Construction inspectors [2264],0
2020-10,Transportation officers and controllers [227],0
2020-10,"Air pilots, flight engineers and flying instructors [2271]",0
